amount,time_delta,merchant_cat,country,is_night,typing_speed_ms,device_trust,is_fraud
123.16,21297,utilities,US,0,456.1,0.31,0
229.25,74015,groceries,IN,0,388.6,0.525,0
1200.52,3819,electronics,IN,1,358.1,0.464,0
402.04,44048,groceries,DE,0,246.9,0.066,0
831.15,26376,utilities,SG,0,320.2,0.708,0
589.74,23165,utilities,IN,0,237.2,0.336,0
175.23,7173,travel,US,1,238.9,0.373,0
569.37,12736,gaming,DE,1,268.6,0.183,0
241.29,60091,electronics,IN,0,419.4,0.762,0
239.89,35679,utilities,IN,0,420.6,0.131,0
364.95,64390,groceries,US,0,331.8,0.263,0
72.0,21559,travel,IN,0,379.4,0.229,0
1090.89,22614,travel,US,0,327.2,0.906,0
169.27,640,utilities,US,1,328.6,0.888,0
900.41,40682,gaming,GB,0,329.2,0.851,0
379.52,59392,utilities,GB,0,218.6,0.579,0
1532.44,52753,travel,US,0,248.0,0.238,0
171.16,28695,groceries,IN,0,517.2,0.257,0
242.45,82597,travel,GB,1,384.4,0.179,0
464.22,10938,travel,US,1,399.0,0.264,0
36.42,58823,gaming,US,0,220.0,0.598,0
757.87,654,travel,GB,1,308.6,0.698,0
1547.22,67173,travel,DE,0,239.4,0.392,0
1021.87,37968,utilities,IN,0,333.5,0.892,0
704.41,47338,gaming,IN,0,416.7,0.029,0
286.18,26539,groceries,IN,0,392.7,0.023,0
1193.31,69442,groceries,SG,0,272.4,0.528,0
969.34,28352,utilities,GB,0,214.0,0.104,0
490.39,1255,utilities,IN,1,403.6,0.989,0
332.85,35956,utilities,GB,0,289.3,0.569,0
230.63,26584,utilities,US,0,375.0,0.272,0
96.77,48532,gaming,DE,0,253.9,0.661,0
1128.69,69452,groceries,IN,0,382.2,0.084,0
37.73,34612,utilities,IN,0,345.0,0.91,0
228.71,82155,utilities,US,1,355.2,0.041,0
390.32,36139,utilities,US,0,425.2,0.358,0
782.48,39258,groceries,SG,0,394.0,0.769,0
1928.02,40529,travel,IN,0,378.1,0.284,0
894.18,16293,electronics,IN,1,415.1,0.271,0
247.41,62081,utilities,IN,0,380.9,0.525,0
685.89,11500,utilities,GB,1,305.6,0.572,0
93.78,54504,utilities,SG,0,425.7,0.811,0
1383.71,3409,utilities,DE,1,354.5,0.139,0
283.19,37438,gaming,IN,0,394.4,0.212,0
168.82,20340,utilities,IN,0,389.6,0.377,0
174.78,4958,utilities,IN,1,457.3,0.939,0
311.45,13992,groceries,IN,1,308.8,0.101,0
223.59,55305,groceries,SG,0,366.1,0.422,0
3269.84,57965,electronics,IN,0,273.9,0.109,0
161.48,86177,electronics,IN,1,380.7,0.289,0
342.13,64507,travel,US,0,327.6,0.958,0
340.57,56091,travel,US,0,464.1,0.474,0
340.65,67302,electronics,IN,0,423.8,0.948,0
350.0,45446,electronics,IN,0,350.6,0.508,0
204.59,16873,utilities,IN,1,260.2,0.239,0
184.78,42948,groceries,IN,0,345.1,0.813,0
139.83,43010,groceries,US,0,224.5,0.767,0
74.77,26689,travel,IN,0,344.0,0.047,0
411.12,22535,electronics,DE,0,365.5,0.895,0
886.22,71593,utilities,SG,0,353.6,0.906,0
192.39,63948,groceries,US,0,442.1,0.295,0
189.42,43215,utilities,US,0,320.2,0.646,0
241.31,52333,electronics,IN,0,474.3,0.45,0
208.92,81169,utilities,US,1,345.1,0.543,0
78.75,83466,utilities,IN,1,402.3,0.459,0
1296.85,50177,gaming,US,0,344.8,0.966,0
513.67,63938,electronics,GB,0,337.2,0.04,0
162.53,30293,electronics,DE,0,334.2,0.273,0
445.75,76538,electronics,DE,0,340.9,0.025,0
213.6,65885,electronics,GB,0,422.1,0.185,0
267.99,39468,groceries,US,0,269.0,0.27,0
476.54,61357,utilities,IN,0,250.7,0.948,0
858.81,79791,utilities,SG,1,339.6,0.872,0
1513.39,31918,groceries,IN,0,467.4,0.129,0
1819.82,34426,utilities,IN,0,472.6,0.751,0
258.2,22152,utilities,IN,0,334.9,0.904,0
200.91,13772,gaming,IN,1,436.2,0.21,0
365.84,60619,groceries,IN,0,326.2,0.294,0
376.5,10764,gaming,US,1,341.1,0.581,0
158.91,71218,utilities,SG,0,489.7,0.787,0
178.06,27064,utilities,SG,0,528.4,0.505,0
746.85,61388,utilities,SG,0,392.2,0.42,0
1710.24,49979,groceries,IN,0,185.6,0.121,0
264.04,82813,travel,IN,1,248.5,0.385,0
173.23,18198,utilities,DE,0,357.8,0.79,0
249.44,32245,utilities,SG,0,474.7,0.682,0
122.42,71143,utilities,IN,0,268.8,0.417,0
252.07,62895,luxury,SG,0,322.6,0.153,0
505.24,36700,electronics,US,0,413.4,0.27,0
305.28,59756,utilities,IN,0,223.9,0.568,0
1138.15,49451,groceries,IN,0,289.1,0.049,0
385.09,2066,utilities,SG,1,440.7,0.056,0
535.77,27269,electronics,IN,0,399.7,0.304,0
285.38,65061,groceries,IN,0,529.5,0.182,0
1234.29,72375,electronics,US,0,329.1,0.498,0
97.54,6975,utilities,DE,1,513.7,0.254,1
244.45,33675,gaming,US,0,268.7,0.881,0
102.4,8881,travel,IN,1,377.7,0.539,0
756.62,35635,gaming,US,0,305.4,0.729,0
775.03,28494,travel,US,0,256.5,0.501,0
197.71,81002,utilities,IN,1,306.4,0.028,0
1738.36,60706,utilities,DE,0,246.4,0.068,0
246.0,25527,gaming,IN,0,522.6,0.855,0
83.03,42842,travel,IN,0,417.7,0.603,0
249.98,40555,electronics,IN,0,205.3,0.219,0
474.66,47475,groceries,IN,0,361.2,0.57,0
261.96,1892,luxury,GB,1,316.0,0.172,0
3191.05,49763,travel,GB,0,329.6,0.077,0
778.97,77629,utilities,US,0,328.8,0.021,0
1870.32,40001,groceries,US,0,364.6,0.398,0
1324.08,74290,utilities,GB,0,288.6,0.037,0
61.36,45322,groceries,US,0,349.9,0.801,1
226.97,37046,gaming,DE,0,419.8,0.638,1
21.63,50197,utilities,GB,0,318.6,0.315,0
173.5,26532,groceries,IN,0,501.5,0.653,0
1009.98,37319,travel,DE,0,423.6,0.592,0
142.5,39648,groceries,US,0,347.5,0.744,1
175.19,43124,utilities,US,0,350.9,0.121,0
458.85,12909,electronics,IN,1,271.0,0.7,0
727.71,41443,gaming,IN,0,505.8,0.41,0
231.89,42959,electronics,SG,0,417.0,0.461,0
256.41,60541,groceries,IN,0,327.2,0.628,0
743.65,13538,utilities,US,1,382.8,0.343,0
426.94,48960,utilities,US,0,355.1,0.877,0
248.96,63682,groceries,IN,0,465.3,0.277,0
453.54,2255,utilities,IN,1,403.4,0.428,0
357.35,74460,travel,US,0,376.8,0.566,0
427.19,50397,utilities,IN,0,358.6,0.717,0
2449.93,38793,groceries,DE,0,141.6,0.537,0
244.05,61930,groceries,IN,0,342.5,0.471,0
193.03,85965,utilities,DE,1,381.8,0.096,0
1361.33,29019,luxury,IN,0,367.0,0.304,0
163.51,68486,electronics,IN,0,234.5,0.753,0
1849.14,10179,luxury,IN,1,324.4,0.852,0
272.7,40613,groceries,IN,0,390.0,0.111,0
356.53,31255,utilities,IN,0,321.7,0.418,0
689.67,48778,gaming,IN,0,343.4,0.135,0
1113.98,46611,travel,US,0,318.4,0.679,0
897.47,49314,electronics,US,0,355.2,0.113,0
270.14,64105,utilities,US,0,341.8,0.851,0
229.56,4126,utilities,IN,1,379.9,0.235,0
468.74,68703,utilities,IN,0,80.4,0.087,0
378.91,6405,utilities,SG,1,245.7,0.505,0
174.22,5554,travel,GB,1,312.4,0.591,0
499.35,32380,utilities,IN,0,278.6,0.157,0
894.89,14933,gaming,US,1,427.8,0.243,0
391.15,80886,electronics,IN,1,411.9,0.343,0
1582.22,25810,electronics,IN,0,349.4,0.401,0
499.14,40101,utilities,IN,0,486.3,0.542,0
